"Quarter","MAE","RMSE","R2","model"
"2024-Q2",4.45405700850946,6.04934070825886,0.236105670741367,"Model1_OLS"
"2024-Q3",4.78336248987364,6.92642055357957,0.305843255223302,"Model1_OLS"
"2024-Q4",5.0454139491788,7.53464146195345,0.225874461591576,"Model1_OLS"
"2024-Q2",1.59543933907582,2.8048069462046,0.835781098011967,"Model2_TimeLag_OLS"
"2024-Q3",1.46527248860681,2.10305641789694,0.936005642898728,"Model2_TimeLag_OLS"
"2024-Q4",1.50350314364794,2.12976432799079,0.938148631924829,"Model2_TimeLag_OLS"
"2024-Q2",2.86195892029259,7.4351949466293,-0.153989654325749,"Model3_Poisson"
"2024-Q3",2.77082366229748,4.39641700542214,0.720335338968085,"Model3_Poisson"
"2024-Q4",2.7783646025513,4.13671259556913,0.766655853921789,"Model3_Poisson"
"2024-Q2",2.66460948291661,6.80392928607997,0.0336448221586867,"Model5_ST_Poisson"
"2024-Q3",2.68447427282308,3.89070620540314,0.780973477082672,"Model5_ST_Poisson"
"2024-Q4",2.73709334582946,4.08903272193098,0.772003917573472,"Model5_ST_Poisson"
"2024-Q2",2.56482897300964,6.5158722040889,0.113737627358699,"Model6_Final"
"2024-Q3",2.60976499482376,3.68304266717982,0.803730266128706,"Model6_Final"
"2024-Q4",2.70391939205427,4.11983806082957,0.768555692359083,"Model6_Final"
